Country,Total market cap (in mil. US$),Number of domestic companies listed,Population (2023),Land Area (Km²),Capitalization per capita in USD,Capitalization per area (km²) in USD,number of people per domestic company
United States,44719661,4266,339996563,9147420,131529,4888773,79699
China,13214311,4154,1425671352,9388211,9268,1407543,343204
Japan,6718220,3754,123294513,364555,54489,18428549,32843
Hong Kong,6130420,2353,7491609,1050,818304,-2147483648,3183
India,3612985,5270,1428627663,2973190,2528,1215188,271086
France,2823000,457,64756584,547557,43594,5155627,141699
United Kingdom,2821000,1858,67736802,241930,41646,11660397,36456
Canada,2641455,3922,38781291,9093510,68111,290476,9888
Saudi Arabia,2429102,207,36947025,2149690,65745,1129977,178488
Germany,2284109,438,83294633,348560,27422,6552986,190170
South Korea,2176190,2318,51784059,97230,42024,22381878,22339
Taiwan,2007560,1627,23923276,35410,83916,56694719,14703
Switzerland,2001603,236,8796669,39516,227541,50652976,37274
Australia,1720556,1902,26439111,7682300,65076,223963,13900
Netherlands,1597215,103,17618299,33720,90656,47366992,171051
Iran,1218392,367,89172767,1628550,13663,748145,242977
South Africa,1051529,264,60414495,1213090,17405,866818,228842
Brazil,988374,345,216422446,8358140,4566,118252,627311
Sweden,913163,832,10612086,410340,86049,2225381,12754
Spain,759175,2711,47519628,498800,15976,1522002,17528
Italy,747438,290,58870762,294140,12696,2541096,203002
Russia,694739,213,144444359,16376870,4809,42421,678142
Denmark,670282,178,5910913,42430,113397,15797360,33207
Singapore,652615,459,6014723,700,108502,932307142,13103
Thailand,543164,743,71801279,510890,7564,1063172,96636
Indonesia,496086,713,277534122,1811570,1787,273843,389248
Malaysia,436538,927,34308525,328550,12723,1328680,37010
Mexico,399617,140,128455567,1943950,3110,205569,917539
Belgium,321094,117,11686140,30280,27476,10604161,99881
Norway,295549,186,5474360,365268,53987,809129,29432
United Arab Emirates,294832,130,9516871,83600,30979,3526698,73206
Philippines,272790,268,117337368,298170,2324,914880,437826
Israel,262062,426,9174520,21640,28564,12110073,21536
Turkey,237474,586,85816199,769630,2767,308556,146444
Vietnam,186009,745,98858950,310070,1881,599893,132696
Chile,184549,194,19629590,743532,9401,248205,101183
Poland,177508,782,41026067,306230,4326,579655,52463
Qatar,165394,47,2716391,11610,60887,14245822,57795
New Zealand,132198,122,5228100,263310,25286,502062,42853
Austria,132083,68,8958960,82409,14743,1602773,131749
Ireland,110154,42,5056935,68890,21782,1598983,120403
Colombia,106315,65,52085168,1109500,2041,95822,801310
Kuwait,105987,163,4310108,17820,24590,5947643,26442
Bangladesh,89774,628,172954319,130170,519,689667,275404
Peru,87092,199,34352719,1280000,2535,68040,172626
Morocco,65575,75,37840044,446300,1732,146930,504533
Portugal,61934,40,10247605,91590,6043,676209,256190
Nigeria,56569,177,223804632,910770,252,62111,1264432
Luxembourg,51568,29,654768,2590,78757,19910424,22578
Greece,50986,171,10341277,128900,4930,395546,60475
Kazakhstan,45202,94,19606633,2699700,2305,16743,208581
Egypt,41351,240,112716598,995450,366,41540,469652
Argentina,39394,91,45773884,2736690,860,14394,503009
Pakistan,32567,557,240485658,770880,135,42246,431751
Hungary,27971,45,10156239,90530,2754,308969,225694
Czech Republic,26614,20,10495295,77240,2535,344562,524764
Romania,25513,81,19892812,230170,1282,110844,245590
Bahrain,24608,42,1485509,760,16565,32378947,35369
Croatia,22230,104,4008617,55960,5545,397248,38544
Kenya,21398,60,55100586,569140,388,37597,918343
Finland,20344,134,5545475,303890,3668,66945,41384
Jordan,18205,179,11337052,88780,1605,205057,63335
Bulgaria,17711,259,6687717,108560,2648,163144,25821
Oman,16481,111,4644384,309500,3548,53250,41841
Sri Lanka,15982,283,21893579,62710,729,254855,77362
Panama,13938,34,4468087,74340,3119,187489,131414
Jamaica,11701,89,2825544,10830,4141,1080424,31747
Ghana,9247,31,34121985,227540,270,40639,1100709
Tunisia,8572,80,12458223,155360,688,55175,155727
Slovenia,8449,27,2119675,20140,3985,419513,78506
Lebanon,6703,10,5353930,10230,1251,655229,535393
Tanzania,6482,22,67438106,885800,96,7317,3065368
Mauritius,6160,93,1300557,2030,4736,3034482,13984
Slovakia,5377,67,5795199,48088,927,111815,86495
Malta,5081,27,535064,320,9496,15878125,19817
Cyprus,4693,92,1260138,9240,3724,507900,13697
Ukraine,4415,78,36744634,579320,120,7621,471085
Serbia,4056,0,7149077,87460,567,46375,0
Venezuela,3980,37,28838499,882050,138,4512,779418
Trinidad and Tobago,3889,26,1534937,5130,2533,758089,59036
Montenegro,3787,112,626485,13450,6044,281561,5593
Palestine,3447,46,5371230,6020,641,572591,116765
Rwanda,3214,4,14094683,24670,228,130279,3523670
Zambia,3184,23,20569737,743390,154,4283,894336
Barbados,2780,15,281995,430,9858,6465116,18799
Zimbabwe,2461,69,16665409,386850,147,6361,241527
Costa Rica,1901,10,5212173,51060,364,37230,521217
Namibia,1867,13,2604172,823290,716,2267,200320
Papua New Guinea,1682,6,10329931,452860,162,3714,1721655
Belarus,1239,12,9498238,202910,130,6106,791519
Seychelles,1137,40,107660,460,10561,2471739,2691
Botswana,978,26,2675352,566730,365,1725,102898
Ecuador,747,26,18190484,248360,41,3007,699634
Cayman Islands,644,4,69310,240,9291,2683333,17327
Algeria,371,0,45606480,2381740,8,155,0
Paraguay,313,55,6861524,397300,45,787,124754
Uruguay,284,17,3423108,175020,82,1622,201359
Eswatini,234,6,1210822,17200,193,13604,201803
Bermuda,220,13,64069,50,3433,4400000,4928
